team_name,season,team_wins,team_losses
massachusetts,2020,0,4
new_mexico_state,2020,0,0
akron,2020,1,5
ball_state,2020,7,1
bowling_green,2020,0,5
buffalo,2020,6,1
central_michigan,2020,3,3
eastern_michigan,2020,2,4
kent_state,2020,3,1
miami_ohio,2020,2,1
northern_illinois,2020,0,6
ohio,2020,2,1
toledo,2020,4,2
western_michigan,2020,4,2
air_force,2020,3,3
boise_state,2020,5,2
colorado_state,2020,1,3
fresno_state,2020,3,3
hawai'i,2020,5,4
nevada,2020,7,2
new_mexico,2020,2,5
san_diego_state,2020,4,4
san_jose_state,2020,7,1
unlv,2020,0,6
utah_state,2020,1,5
wyoming,2020,2,4
arizona,2020,0,5
arizona_state,2020,2,2
california,2020,1,3
colorado,2020,4,2
oregon,2020,4,3
oregon_state,2020,2,5
usc,2020,5,1
stanford,2020,4,2
ucla,2020,3,4
utah,2020,3,2
washington,2020,3,1
washington_state,2020,1,3
alabama,2020,13,0
arkansas,2020,3,7
auburn,2020,6,5
florida,2020,8,4
georgia,2020,8,2
kentucky,2020,5,6
lsu,2020,5,5
mississippi,2020,5,5
mississippi_state,2020,4,7
missouri,2020,5,5
south_carolina,2020,2,8
tennessee,2020,3,7
texas_a&m,2020,9,1
vanderbilt,2020,0,9
appalachian_state,2020,9,3
arkansas_state,2020,4,7
coastal_carolina,2020,11,1
georgia_southern,2020,8,5
georgia_state,2020,6,4
louisiana-lafayette,2020,10,1
louisiana-monroe,2020,0,10
south_alabama,2020,4,7
texas_state,2020,2,10
troy,2020,5,6
cincinnati,2021,13,1
east_carolina,2021,7,5
houston,2021,12,2
memphis,2021,6,6
navy,2021,4,8
south_florida,2021,2,10
smu,2021,8,4
temple,2021,3,9
tulane,2021,2,10
tulsa,2021,7,6
ucf,2021,9,4
boston_college,2021,6,6
clemson,2021,10,3
duke,2021,3,9
florida_state,2021,5,7
georgia_tech,2021,3,9
louisville,2021,6,7
miami_florida,2021,7,5
north_carolina,2021,6,7
north_carolina_state,2021,9,3
pittsburgh,2021,11,3
syracuse,2021,5,7
virginia,2021,6,6
virginia_tech,2021,6,7
wake_forest,2021,11,3
baylor,2021,12,2
iowa_state,2021,7,6
kansas,2021,2,10
kansas_state,2021,8,5
oklahoma,2021,11,2
oklahoma_state,2021,12,2
tcu,2021,5,7
texas,2021,5,7
texas_tech,2021,7,6
west_virginia,2021,6,7
illinois,2021,5,7
indiana,2021,2,10
iowa,2021,10,4
maryland,2021,7,6
michigan,2021,12,2
michigan_state,2021,11,2
minnesota,2021,9,4
nebraska,2021,3,9
northwestern,2021,3,9
ohio_state,2021,11,2
penn_state,2021,7,6
purdue,2021,9,4
rutgers,2021,5,8
wisconsin,2021,9,4
charlotte,2021,5,7
florida_atlantic,2021,5,7
florida_international,2021,1,11
louisiana_tech,2021,3,9
marshall,2021,7,6
middle_tennessee,2021,7,6
north_texas,2021,6,7
