transfer,name,season,pos,team_name,yr,g,passing_att,passing_comp,passing_pct.,passing_yards,passing_yards/att,passing_td,passing_int,passing_rating,passing_att/g,passing_yards/g,player_id,rushing_att,rushing_yards,rushing_avg.,rushing_td,rushing_att/g,rushing_yards/g
False,Aaron Zwahlen,2016,QB,hawai'i,FR,1,10,3,30.0,32,3.2,0,1,36.88,10.0,32.0,aaron_zwahlen_hawai'i,2,0,0.00,0,2.00,0.00
False,Adrian Martinez,2018,QB,nebraska,FR,11,347,224,64.6,2617,7.5,17,8,139.46,31.5,237.9,adrian_martinez_nebraska,140,629,4.49,8,12.73,57.18
False,Adrian Martinez,2019,QB,nebraska,SO,10,251,149,59.4,1956,7.8,10,9,130.8,25.1,195.6,adrian_martinez_nebraska,144,626,4.35,7,14.40,62.60
False,Adrian Martinez,2020,QB,nebraska,JR,7,151,108,71.5,1055,7.0,4,3,134.98,21.6,150.7,adrian_martinez_nebraska,91,521,5.73,7,13.00,74.43
True,Adrian Martinez,2021,QB,nebraska,JR,11,306,189,61.8,2863,9.4,14,10,148.92,27.8,260.3,adrian_martinez_nebraska,133,525,3.95,13,12.09,47.73
False,Adrian Martinez,2022,QB,kansas_state,SR,10,184,118,64.1,1261,6.9,6,1,131.37,18.4,126.1,adrian_martinez_kansas_state,111,627,5.65,10,11.10,62.70
False,Ahmad Bradshaw,2016,QB,army,JR,12,91,40,44.0,703,7.7,4,9,103.58,7.6,58.6,ahmad_bradshaw_army,185,826,4.46,8,15.42,68.83
False,Ahmad Bradshaw,2017,QB,army,SR,13,43,14,32.6,285,6.6,1,2,86.62,3.3,21.9,ahmad_bradshaw_army,242,1746,7.21,14,18.62,134.31
False,Ahmad Haston,2023,QB,massachusetts,FR,3,17,11,64.7,176,10.4,2,1,178.74,5.7,58.7,ahmad_haston_massachusetts,16,54,3.38,0,5.33,18.00
False,Aidan Armenta,2024,QB,louisiana-monroe,FR,5,43,25,58.1,295,6.9,2,2,121.81,8.6,59.0,aidan_armenta_louisiana-monroe,6,20,3.33,0,1.20,4.00
True,Aidan Chiles,2023,QB,oregon_state,FR,9,35,24,68.6,309,8.8,4,0,180.45,3.9,34.3,aidan_chiles_oregon_state,17,79,4.65,3,1.89,8.78
False,Aidan Chiles,2024,QB,michigan_state,SO,6,152,86,56.6,1212,8.0,5,8,123.88,25.3,202.0,aidan_chiles_michigan_state,45,115,2.56,3,7.50,19.17
False,Aidan O'Connell,2019,QB,purdue,SO,6,164,103,62.8,1101,6.7,8,4,130.42,27.3,183.5,aidan_o'connell_purdue,15,-9,-0.60,0,2.50,-1.50
False,Aidan O'Connell,2020,QB,purdue,JR,3,136,88,64.7,916,6.7,7,2,135.33,45.3,305.3,aidan_o'connell_purdue,12,-64,-5.33,0,4.00,-21.33
False,Aidan O'Connell,2021,QB,purdue,SR,12,439,315,71.8,3708,8.4,28,11,158.74,36.6,309.0,aidan_o'connell_purdue,25,-120,-4.80,1,2.08,-10.00
False,Aidan O'Connell,2022,QB,purdue,SR,12,499,320,64.1,3490,7.0,22,13,132.22,41.6,290.8,aidan_o'connell_purdue,43,-81,-1.88,1,3.58,-6.75
False,Aidan Smith,2019,QB,northwestern,JR,9,171,86,50.3,760,4.4,3,9,82.88,19.0,84.4,aidan_smith_northwestern,72,211,2.93,1,8.00,23.44
False,Aidan Warner,2024,QB,florida,FR,1,2,1,50.0,10,5.0,0,0,92.0,2.0,10.0,aidan_warner_florida,1,9,9.00,1,1.00,9.00
False,Aidan Willard,2018,QB,oregon_state,FR,1,1,0,0.0,0,0.0,0,0,0.0,1.0,0.0,aidan_willard_oregon_state,1,-15,-15.00,0,1.00,-15.00
False,Ajani Sheppard,2023,QB,rutgers,FR,1,2,2,100.0,23,11.5,0,0,196.6,2.0,23.0,ajani_sheppard_rutgers,1,10,10.00,0,1.00,10.00
False,Alan Bowman,2018,QB,texas_tech,FR,8,327,227,69.4,2638,8.1,17,7,150.06,40.9,329.8,alan_bowman_texas_tech,29,-26,-0.90,1,3.63,-3.25
