transfer,name,season,pos,team_name,yr,g,passing_att,passing_comp,passing_pct.,passing_yards,passing_yards/att,passing_td,passing_int,passing_rating,passing_att/g,passing_yards/g,player_id,rushing_att,rushing_yards,rushing_avg.,rushing_td,rushing_att/g,rushing_yards/g,offense_rush_yards,offense_pass_yards,offense_plays,offense_total_yards,offense_yards/play,offense_yards/g,season_wins,season_losses,g_diff,pass_rating_perc,other_qbs,attempts_per_game,playing_time_ratio,team_win_pct,team_win_pct_change,depth_chart_position,passing_rating_yoy_change,passing_att_yoy_change,passing_yards_yoy_change,rushing_yards_yoy_change,passing_td_yoy_change,offense_plays_yoy_change,offense_total_yards_yoy_change,offense_yards/play_yoy_change,offense_yards/g_yoy_change
False,Kadin Semonza,2024,QB,ball_state,1,5,174.0,117.0,67.2,1133.0,6.5,11.0,7.0,134.74,34.8,226.6,kadin_semonza_ball_state,28.0,-37.0,-1.32,1.0,5.6,-7.4,-37,1133,202,1096,5.43,219.2,1,4,1.0,1.0,1,34.8,0.9666666666666667,0.2,-0.3999999999999999,1.0,0.2246864206507908,1.1219512195121952,1.3604166666666666,-4.7,2.6666666666666665,1.0404040404040402,1.2367346938775512,0.09696969696969693,0.7893877551020407
False,Kado Brown,2017,QB,georgia_southern,3,6,30.0,18.0,60.0,354.0,11.8,1.0,2.0,156.79,5.0,59.0,kado_brown_georgia_southern,53.0,145.0,2.74,2.0,8.83,24.17,145,354,83,499,6.01,83.2,2,10,0.0,1.0,2,5.0,0.15625,0.16666666666666666,-0.33333333333333337,2.0,-0.007589243886442443,0.1386259753451221,0.17185554171855544,-0.34833164812942363,0.04166666666666674,0.13470122390208783,0.17042112622490102,0.012016118322764835,0.08402703114739885
False,Kai Horton,2021,QB,tulane,1,5,19.0,8.0,42.1,88.0,4.6,0.0,3.0,49.44,3.8,17.6,kai_horton_tulane,10.0,-11.0,-1.1,0.0,2.0,-2.2,-11,88,29,77,2.66,15.4,2,10,0.0,0.33,2,3.8,0.051490514905149054,0.16666666666666666,-0.6904761904761905,3.0,0.023756079311634926,0.7012987012987013,0.9392638036809815,-0.010721303422302264,1.0,0.6408668730650156,0.7824324324324323,0.0050000000000001155,0.05577689243027906
False,Kai Horton,2022,QB,tulane,1,4,23.0,13.0,56.5,165.0,7.2,3.0,0.0,159.82,5.8,41.3,kai_horton_tulane,6.0,-20.0,-3.33,0.0,1.5,-5.0,-20,165,29,145,5.0,36.3,12,2,-1.0,0.67,2,5.75,0.0610079575596817,0.8571428571428571,4.142857142857143,2.0,2.2326051779935274,0.21052631578947367,0.875,0.8181818181818181,1.0,0.0,0.8831168831168832,0.8796992481203008,1.3571428571428568
False,Kai Horton,2023,QB,tulane,2,5,82.0,44.0,53.7,604.0,7.4,3.0,2.0,122.72,16.4,120.8,kai_horton_tulane,24.0,-25.0,-1.04,2.0,4.8,-5.0,-25,604,106,579,5.46,115.8,11,3,1.0,0.67,2,16.4,0.22343324250681199,0.7857142857142857,-0.08333333333333326,2.0,-0.23213615317231884,2.5652173913043477,2.6606060606060606,0.25,0.0,2.6551724137931036,2.9931034482758623,0.09200000000000008,2.190082644628099
False,Kai Horton,2024,QB,tulane,3,1,1.0,1.0,100.0,9.0,9.0,0.0,0.0,175.6,1.0,9.0,kai_horton_tulane,,,,,,,0,9,1,9,9.0,9.0,4,2,-4.0,0.67,2,1.0,0.0072992700729927005,0.6666666666666666,-0.1515151515151515,3.0,0.43089960886571044,-0.9878048780487805,-0.9850993377483444,-0.6086956521739131,-1.0,-0.9905660377358491,-0.9844559585492227,0.6483516483516483,-0.9222797927461139
False,Kai Locksley,2018,QB,utep,3,9,169.0,83.0,49.1,937.0,5.5,3.0,9.0,90.89,18.8,104.1,kai_locksley_utep,111.0,340.0,3.06,6.0,12.33,37.78,340,937,280,1277,4.56,141.9,1,11,0.0,0.33,2,18.77777777777778,0.5232198142414861,0.08333333333333333,-0.6666666666666667,1.0,-0.002040755141352324,0.3089080459770115,0.33125458547322073,-0.14301919720767886,0.4852941176470589,0.25,0.2741116751269035,0.009661835748792313,0.057595993322203665
False,Kai Locksley,2019,QB,utep,4,11,181.0,103.0,56.9,1329.0,7.3,6.0,5.0,124.01,16.5,120.8,kai_locksley_utep,126.0,535.0,4.25,5.0,11.45,48.64,535,1329,307,1864,6.07,169.5,1,11,2.0,1.0,2,16.454545454545453,0.5501519756838906,0.08333333333333333,0.0,1.0,0.3643965232698867,0.07100591715976323,0.41835645677694777,0.5735294117647058,1.0,0.09642857142857153,0.4596711041503523,0.33114035087719307,0.19450317124735728
False,Kai Millner,2022,QB,california,1,3,15.0,9.0,60.0,121.0,8.1,2.0,0.0,171.76,5.0,40.3,kai_millner_california,1.0,13.0,13.0,0.0,0.33,4.33,13,121,16,134,8.38,44.7,4,8,0.0,1.0,1,5.0,0.032188841201716736,0.3333333333333333,0.0,2.0,-0.027268552726229134,0.28903654485049834,0.26420117939104626,-0.20918537585204255,0.2857142857142858,0.20469083155650325,0.20699925539836195,-0.0383480825958703,0.10647010647010657
False,Kaidon Salter,2021,QB,liberty,1,2,2.0,1.0,50.0,39.0,19.5,1.0,0.0,378.8,1.0,19.5,kaidon_salter_liberty,5.0,53.0,10.6,0.0,2.5,26.5,53,39,7,92,13.14,46.0,8,5,0.0,1.0,3,1.0,0.005291005291005291,0.6153846153846154,-0.3372781065088757,4.0,0.023756079311634926,0.7012987012987013,0.9392638036809815,-0.010721303422302264,1.0,0.6408668730650156,0.7824324324324323,0.0050000000000001155,0.05577689243027906
False,Kaidon Salter,2022,QB,liberty,1,8,149.0,87.0,58.4,1086.0,7.3,8.0,5.0,130.63,18.6,135.8,kaidon_salter_liberty,69.0,284.0,4.12,2.0,8.63,35.5,284,1086,218,1370,6.28,171.3,8,5,6.0,1.0,3,18.625,0.37817258883248733,0.6153846153846154,0.0,2.0,-0.6551478352692715,73.5,26.846153846153847,4.3584905660377355,7.0,30.142857142857142,13.891304347826088,-0.5220700152207002,2.723913043478261
False,Kaidon Salter,2023,QB,liberty,2,14,290.0,177.0,61.0,2876.0,9.9,32.0,6.0,176.6,20.7,205.4,kaidon_salter_liberty,163.0,1089.0,6.68,12.0,11.64,77.79,1089,2876,453,3965,8.75,283.2,13,1,6.0,1.0,4,20.714285714285715,0.9570957095709571,0.9285714285714286,0.5089285714285714,1.0,0.35190997473780916,0.9463087248322148,1.6482504604051567,2.834507042253521,3.0,1.0779816513761467,1.894160583941606,0.3933121019108279,0.6532399299474605
False,Kaidon Salter,2024,QB,liberty,3,5,119.0,75.0,63.0,1074.0,9.0,7.0,1.0,156.57,23.8,214.8,kaidon_salter_liberty,52.0,183.0,3.52,2.0,10.4,36.6,183,1074,171,1257,7.35,251.4,5,0,-9.0,1.0,1,23.8,0.9754098360655737,1.0,0.07692307692307687,1.0,-0.11342015855039633,-0.5896551724137931,-0.6265646731571628,-0.8319559228650137,-0.78125,-0.6225165562913908,-0.6829760403530896,-0.16000000000000003,-0.11228813559322026
False,Kaiya Sheron,2022,QB,kentucky,1,4,29.0,17.0,58.6,187.0,6.4,2.0,1.0,128.64,7.3,46.8,kaiya_sheron_kentucky,11.0,-24.0,-2.18,0.0,2.75,-6.0,-24,187,40,163,4.08,40.8,7,6,0.0,0.75,3,7.25,0.0830945558739255,0.5384615384615384,0.18461538461538463,3.0,-0.027268552726229134,0.28903654485049834,0.26420117939104626,-0.20918537585204255,0.2857142857142858,0.20469083155650325,0.20699925539836195,-0.0383480825958703,0.10647010647010657
False,Kaiya Sheron,2023,QB,kentucky,2,5,4.0,2.0,50.0,5.0,1.3,0.0,0.0,60.5,0.8,1.0,kaiya_sheron_kentucky,2.0,-5.0,-2.5,0.0,0.4,-1.0,-5,5,6,0,0.0,0.0,7,6,1.0,0.5,1,0.8,0.010666666666666666,0.5384615384615384,0.0,2.0,-0.5296952736318408,-0.8620689655172413,-0.9732620320855615,-0.7916666666666666,-1.0,-0.85,-1.0,-1.0,-1.0
False,Kaleb Barker,2016,QB,troy,1,10,4.0,3.0,75.0,9.0,2.3,0.0,0.0,93.9,0.4,0.9,kaleb_barker_troy,9.0,101.0,11.22,1.0,0.9,10.1,101,9,13,110,8.46,11.0,10,3,0.0,0.33,2,0.4,0.0081799591002045,0.7692307692307693,0.8461538461538463,3.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
False,Kaleb Barker,2017,QB,troy,2,13,13.0,8.0,61.5,143.0,11.0,1.0,0.0,179.32,1.0,11.0,kaleb_barker_troy,21.0,181.0,8.62,2.0,1.62,13.92,181,143,34,324,9.53,24.9,11,2,3.0,1.0,1,1.0,0.02850877192982456,0.8461538461538461,0.09999999999999987,2.0,0.9096911608093714,2.25,14.88888888888889,0.7920792079207921,1.0,1.6153846153846154,1.9454545454545453,0.1264775413711583,1.2636363636363637
False,Kaleb Barker,2018,QB,troy,3,6,126.0,92.0,73.0,1013.0,8.0,10.0,2.0,163.58,21.0,168.8,kaleb_barker_troy,57.0,261.0,4.58,3.0,9.5,43.5,261,1013,183,1274,6.96,212.3,10,3,-7.0,1.0,2,21.0,0.34332425068119893,0.7692307692307693,-0.09090909090909083,2.0,-0.08777604282846296,8.692307692307692,6.083916083916084,0.4419889502762431,9.0,4.382352941176471,2.932098765432099,-0.2696747114375655,7.526104417670684
False,Kaleb Barker,2019,QB,troy,4,12,460.0,299.0,65.0,3628.0,7.9,30.0,10.0,148.42,38.3,302.3,kaleb_barker_troy,86.0,137.0,1.59,2.0,7.17,11.42,137,3628,546,3765,6.9,313.8,5,7,6.0,1.0,2,38.333333333333336,0.944558521560575,0.4166666666666667,-0.45833333333333337,1.0,-0.09267636630394926,2.6507936507936507,2.5814412635735438,-0.47509578544061304,2.0,1.9836065573770494,1.9552590266875982,-0.008620689655172376,0.4780970325011775
False,Kaleb Eleby,2018,QB,western_michigan,1,6,147.0,92.0,62.6,1092.0,7.4,4.0,3.0,129.89,24.5,182.0,kaleb_eleby_western_michigan,29.0,-27.0,-0.93,3.0,4.83,-4.5,-27,1092,176,1065,6.05,177.5,7,6,0.0,0.67,3,24.5,0.3721518987341772,0.5384615384615384,0.0,2.0,-0.002040755141352324,0.3089080459770115,0.33125458547322073,-0.14301919720767886,0.4852941176470589,0.25,0.2741116751269035,0.009661835748792313,0.057595993322203665
