name,yr,pos,g,att,comp,pct.,yards,yards/att,td,int,rating,att/g,yards/g,team_name,season,player_id,transfer
Blake Shapen,FR,QB,6,86,62,72.1,596,6.9,5,0,149.49,14.3,99.3,baylor,2021,blake_shapen_baylor,False
Blake Shapen,SO,QB,13,368,233,63.3,2790,7.6,18,10,137.72,28.3,214.6,baylor,2022,blake_shapen_baylor,False
Blake Shapen,JR,QB,8,298,184,61.7,2188,7.3,13,3,135.8,37.3,273.5,baylor,2023,blake_shapen_baylor,True
Blake Shapen,SR,QB,4,108,74,68.5,974,9.0,8,1,166.87,27.0,243.5,mississippi_state,2024,blake_shapen_mississippi_state,False
Blake Stenstrom,FR,QB,4,3,1,33.3,12,4.0,0,1,0.26,0.8,3.0,colorado,2019,blake_stenstrom_colorado,False
Blaze Berlowitz,FR,QB,1,19,10,52.6,134,7.1,1,1,118.72,19.0,134.0,new_mexico_state,2023,blaze_berlowitz_new_mexico_state,False
Bo Nix,FR,QB,13,377,217,57.6,2542,6.7,16,6,125.03,29.0,195.5,auburn,2019,bo_nix_auburn,False
Bo Nix,SO,QB,11,357,214,59.9,2415,6.8,12,7,123.94,32.5,219.5,auburn,2020,bo_nix_auburn,False
Bo Nix,JR,QB,10,323,197,61.0,2294,7.1,11,3,130.03,32.3,229.4,auburn,2021,bo_nix_auburn,True
Bo Nix,SR,QB,13,409,294,71.9,3593,8.8,29,7,165.65,31.5,276.4,oregon,2022,bo_nix_oregon,False
Bo Nix,SR,QB,14,470,364,77.4,4508,9.6,45,3,188.32,33.6,322.0,oregon,2023,bo_nix_oregon,False
Brad Kaaya,JR,QB,13,421,261,62.0,3532,8.4,27,7,150.31,32.4,271.7,miami_florida,2016,brad_kaaya_miami_florida,False
Braden Davis,FR,QB,3,14,7,50.0,78,5.6,0,0,96.8,4.7,26.0,syracuse,2023,braden_davis_syracuse,False
Braden Smith,SO,WR,11,1,0,0.0,0,0.0,0,0,0.0,0.1,0.0,louisville,2020,braden_smith_louisville,False
Braden Smith,SO,WR,5,4,3,75.0,41,10.3,1,0,243.6,0.8,8.2,louisville,2021,braden_smith_louisville,False
Braden Smith,SR,WR,13,9,6,66.7,146,16.2,1,1,217.38,0.7,11.2,louisville,2022,braden_smith_louisville,True
Braden Smith,SR,WR,12,3,1,33.3,30,10.0,0,0,117.33,0.3,2.5,cincinnati,2023,braden_smith_cincinnati,False
Brady Allen,FR,QB,1,3,1,33.3,8,2.7,0,0,55.73,3.0,8.0,purdue,2022,brady_allen_purdue,True
Brady Allen,FR,QB,1,1,1,100.0,7,7.0,0,0,158.8,1.0,7.0,louisville,2023,brady_allen_louisville,False
Brady Cook,FR,QB,3,7,6,85.7,72,10.3,1,0,219.25,2.3,24.0,missouri,2020,brady_cook_missouri,False
Brady Cook,FR,QB,5,58,46,79.3,345,5.9,2,0,140.65,11.6,69.0,missouri,2021,brady_cook_missouri,False
Brady Cook,SO,QB,13,382,247,64.7,2724,7.1,14,7,132.99,29.4,209.5,missouri,2022,brady_cook_missouri,False
Brady Cook,JR,QB,13,369,244,66.1,3317,9.0,21,6,157.17,28.4,255.2,missouri,2023,brady_cook_missouri,False
Brady Cook,SR,QB,5,165,105,63.6,1132,6.9,5,1,130.06,33.0,226.4,missouri,2024,brady_cook_missouri,False
Brady Jones,JR,WR,13,3,1,33.3,8,2.7,1,0,165.73,0.2,0.6,utsa,2016,brady_jones_utsa,False
Brady Lichtenberg,SO,QB,7,34,19,55.9,252,7.4,2,1,131.67,4.9,36.0,cincinnati,2023,brady_lichtenberg_cincinnati,False
Brady Lichtenberg,JR,QB,2,4,3,75.0,25,6.3,0,0,127.5,2.0,12.5,cincinnati,2024,brady_lichtenberg_cincinnati,False
Brady McBride,FR,QB,3,14,8,57.1,88,6.3,0,1,95.65,4.7,29.3,memphis,2018,brady_mcbride_memphis,True
