name,yr,pos,g,att,yards,avg.,td,att/g,yards/g,team_name,season,player_id,transfer
AJ Dillon,FR,RB,13,300,1589,5.30,14,23.08,122.23,boston_college,2017,aj_dillon_boston_college,False
AJ Dillon,SO,RB,10,227,1108,4.88,10,22.70,110.80,boston_college,2018,aj_dillon_boston_college,False
AJ Dillon,JR,RB,13,318,1685,5.30,14,24.46,129.62,boston_college,2019,aj_dillon_boston_college,False
AJ Duffy,FR,QB,3,1,5,5.00,0,0.33,1.67,florida_state,2022,aj_duffy_florida_state,False
AJ Duffy,FR,QB,1,3,5,1.67,0,3.00,5.00,florida_state,2023,aj_duffy_florida_state,False
AJ Green,FR,RB,12,47,227,4.83,1,3.92,18.92,arkansas,2021,aj_green_arkansas,False
AJ Green,SO,RB,13,87,412,4.74,3,6.69,31.69,arkansas,2022,aj_green_arkansas,False
AJ Green,JR,RB,12,67,312,4.66,2,5.58,26.00,arkansas,2023,aj_green_arkansas,False
AJ Mayer,FR,QB,3,3,-11,-3.67,0,1.00,-3.67,miami_ohio,2019,aj_mayer_miami_ohio,False
AJ Mayer,SO,QB,3,7,1,0.14,0,2.33,0.33,miami_ohio,2020,aj_mayer_miami_ohio,False
AJ Mayer,SO,QB,7,26,89,3.42,1,3.71,12.71,miami_ohio,2021,aj_mayer_miami_ohio,True
AJ Mayer,JR,QB,9,32,169,5.28,2,3.56,18.78,arkansas_state,2022,aj_mayer_arkansas_state,False
AJ Newberry,FR,RB,4,20,96,4.80,0,5.00,24.00,vanderbilt,2023,aj_newberry_vanderbilt,False
AJ Newberry,SO,RB,5,23,129,5.61,3,4.60,25.80,vanderbilt,2024,aj_newberry_vanderbilt,False
AJ Padgett,FR,QB,3,30,14,0.47,0,10.00,4.67,rice,2022,aj_padgett_rice,False
AJ Padgett,FR,QB,6,32,14,0.44,2,5.33,2.33,rice,2023,aj_padgett_rice,False
AJ Phillips,FR,RB,10,11,45,4.09,0,1.10,4.50,south_alabama,2020,aj_phillips_south_alabama,False
AJ Phillips,FR,RB,8,25,76,3.04,2,3.13,9.50,south_alabama,2021,aj_phillips_south_alabama,False
AJ Swann,FR,QB,9,21,-76,-3.62,0,2.33,-8.44,vanderbilt,2022,aj_swann_vanderbilt,False
AJ Swann,SO,QB,6,27,16,0.59,1,4.50,2.67,vanderbilt,2023,aj_swann_vanderbilt,False
AJ Williams,SO,RB,1,2,33,16.50,0,2.00,33.00,army,2022,aj_williams_army,False
AJ Williams,SR,RB,3,2,9,4.50,0,0.67,3.00,army,2024,aj_williams_army,False
Aaren Vaughns,JR,WR,12,6,99,16.50,1,0.50,8.25,utah_state,2017,aaren_vaughns_utah_state,False
Aaren Vaughns,SR,WR,13,12,100,8.33,0,0.92,7.69,utah_state,2018,aaren_vaughns_utah_state,False
Aaron Allen,FR,QB,2,2,-6,-3.00,0,1.00,-3.00,louisiana_tech,2018,aaron_allen_louisiana_tech,False
Aaron Allen,FR,QB,6,13,3,0.23,0,2.17,0.50,louisiana_tech,2019,aaron_allen_louisiana_tech,False
Aaron Allen,SO,QB,10,17,-10,-0.59,0,1.70,-1.00,louisiana_tech,2020,aaron_allen_louisiana_tech,False
Aaron Allen,SO,QB,7,12,-6,-0.50,0,1.71,-0.86,louisiana_tech,2021,aaron_allen_louisiana_tech,False
Aaron Bedgood,FR,WR,5,4,60,15.00,0,0.80,12.00,coastal_carolina,2019,aaron_bedgood_coastal_carolina,False
Aaron Bedgood,SO,WR,13,1,4,4.00,0,0.08,0.31,coastal_carolina,2021,aaron_bedgood_coastal_carolina,False
Aaron Bedgood,JR,RB,5,8,45,5.63,1,1.60,9.00,coastal_carolina,2022,aaron_bedgood_coastal_carolina,True
Aaron Bedgood,SR,WR,14,58,552,9.52,3,4.14,39.43,liberty,2023,aaron_bedgood_liberty,False
Aaron Brewer,SO,C,12,1,7,7.00,0,0.08,0.58,texas_state,2017,aaron_brewer_texas_state,False
Aaron Duckworth,JR,RB,13,144,672,4.67,5,11.08,51.69,idaho,2016,aaron_duckworth_idaho,False
Aaron Duckworth,SR,RB,12,193,1025,5.31,4,16.08,85.42,idaho,2017,aaron_duckworth_idaho,False
Aaron Dumas,FR,RB,11,136,658,4.84,2,12.36,59.82,new_mexico,2021,aaron_dumas_new_mexico,False
